(c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Kreisen und kreisfreien Städten;;;;;;;;;;;;;;;;
Status:;Vorläufig;;;;;;;;;;;;;;;
Stand:;27.05.2019;03:05;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;III. Weg;26;1;145;0,018281;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;Die Grauen;27;1;1094;0,137926;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;DIE RECHTE;28;1;305;0,038453;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;DIE VIOLETTEN;29;1;563;0,07098;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;LIEBE;30;1;667;0,084092;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;DIE FRAUEN;31;1;937;0,118132;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;Graue Panther;32;1;1496;0,188608;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;LKR;33;1;993;0,125192;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;MENSCHLICHE WELT;34;1;757;0,095438;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;NL;35;1;718;0,090522;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;ÖkoLinX;36;1;1679;0,211679;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;Die Humanisten;37;1;1592;0,200711;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;PARTEI FÜR DIE TIERE;38;1;1146;0,144482;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;Gesundheitsforschung;39;1;787;0,099221;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;Volt;40;1;9411;1,186488;;;;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;System-Gruppe;Übrige;1000;1;;;1827;0,330457;;-0,330457;
EP;26.05.2019;Land;03;Niedersachsen;BUND;99;System-Gruppe;Wahlberechtigte;-4;;6119159;;6126291;;-0,116416;;
EP;26.05.2019;Land;03;Niedersachsen;BUND;99;System-Gruppe;Wähler/-innen;-3;;3766195;61,547592;3006852;49,081116;25,253754;12,466476;
EP;26.05.2019;Land;03;Niedersachsen;BUND;99;System-Gruppe;Ungültige;-2;1;25578;0,679147;28617;0,951726;-10,619562;-0,272579;
EP;26.05.2019;Land;03;Niedersachsen;BUND;99;System-Gruppe;Gültige;-1;1;3740617;99,320853;2978235;99,048274;25,59845;0,272579;
EP;26.05.2019;Land;03;Niedersachsen;BUND;99;Partei;CDU;1;1;1119078;29,916936;1174739;39,444134;-4,738159;-9,527198;
EP;26.05.2019;Land;03;Niedersachsen;BUND;99;Partei;SPD;2;1;781610;20,895216;967811;32,496126;-19,239397;-11,60091;
EP;26.05.2019;Land;03;Niedersachsen;BUND;99;Partei;GRÜNE;3;1;846386;22,626909;324221;10,886347;161,052184;11,740562;
EP;26.05.2019;Land;03;Niedersachsen;BUND;99;Partei;AfD;4;1;297340;7,948956;160342;5,383793;85,44112;2,565163;
EP;26.05.2019;Land;03;Niedersachsen;BUND;99;Partei;DIE LINKE;5;1;141782;3,790337;118385;3,975005;19,763484;-0,184668;
EP;26.05.2019;Land;03;Niedersachsen;BUND;99;Partei;FDP;6;1;186216;4,978216;75347;2,529921;147,144545;2,448295;
